id_key,t_watchid,t_watchdesc,t_type,t_formula,t_formulapara,i_count,t_orgid,t_calctype,i_level,t_formulacount,up,down
7125,XZFB01.NOX_cx1,上海闵行#1炉NOX浓度限小时均值统计,STAT,XZFB01.NOX_tag1>XZFB01.NOX_DL1 and XZFB01.SSFH1>1,"XZFB01.NOX_tag1,XZFB01.NOX_DL1,XZFB01.SSFH1",0.0,XZFB01,1,2,,,
7126,XZFB01.NOX_cx2,上海闵行#1炉NOX浓度限小时均值统计,STAT,XZFB01.NOX_tag1>(2*XZFB01.NOX_DL1) and   XZFB01.SSFH1>1,"XZFB01.NOX_tag1,XZFB01.NOX_DL1,XZFB01.SSFH1",0.0,XZFB01,1,2,,,
7127,XZFB01.NOX_DL1,上海闵行#1炉NOX浓度上限,MANUAL,50,,0.0,XZFB01,1,1,,,
7128,XZFB01.NOX_tag1,上海闵行#1炉NOX浓度测点,RT-AVG,XZFB:1:23CEMS003-XZFB:1:23CEMS004,XZFB:1:23CEMS003,0.0,XZFB01,1,1,,1000000000.0,-100.0
7129,XZFB01.SO2_cx1,上海闵行#1炉so2浓度限小时均值统计,STAT,XZFB01.SO2_tag1>XZFB01.SO2_DL1 and  XZFB01.SSFH1>1,"XZFB01.SO2_tag1,XZFB01.SO2_DL1,XZFB01.SSFH1",0.0,XZFB01,1,2,,,
7130,XZFB01.SO2_cx2,上海闵行#1炉so2浓度限小时均值统计,STAT,XZFB01.SO2_tag1>(2*XZFB01.SO2_DL1) and   XZFB01.SSFH1>1,"XZFB01.SO2_tag1,XZFB01.SO2_DL1,XZFB01.SSFH1",0.0,XZFB01,1,2,,,
7131,XZFB01.SO2_DL1,上海闵行#1炉so2浓度上限,MANUAL,50,,0.0,XZFB01,1,1,,,
7132,XZFB01.SO2_tag1,上海闵行#1炉so2浓度测点,RT-AVG,XZFB:1:23CEMS002-XZFB:1:23CEMS004,XZFB:1:23CEMS002,0.0,XZFB01,1,1,,1000000000.0,-100.0
7133,XZFB01.YC_cx1,上海闵行#1炉烟尘浓度限小时均值统计,STAT,XZFB01.YC_tag1>XZFB01.YC_DL1 and   XZFB01.SSFH1>1,"XZFB01.YC_tag1,XZFB01.YC_DL1,XZFB01.SSFH1",0.0,XZFB01,1,2,,,
7134,XZFB01.YC_cx2,上海闵行#1炉烟尘浓度限小时均值统计,STAT,XZFB01.YC_tag1>(2*XZFB01.YC_DL1) and   XZFB01.SSFH1>1,"XZFB01.YC_tag1,XZFB01.YC_DL1,XZFB01.SSFH1",0.0,XZFB01,1,2,,,
7135,XZFB01.YC_DL1,上海闵行#1炉烟尘浓度上限,MANUAL,20,,0.0,XZFB01,1,1,,,
7136,XZFB01.YC_tag1,上海闵行#1炉烟尘浓度测点,RT-AVG,XZFB:1:23CEMS001-XZFB:1:23CEMS004,XZFB:1:23CEMS001,0.0,XZFB01,1,1,,1000000000.0,-100.0
7137,XZFB01.SSFH1,上海闵行#1炉负荷,RT-AVG,XZFB:1:00CE30001,XZFB:1:00CE30001,0.0,XZFB01,1,1,,1000000000.0,-100.0
