unitid,paraid,desc,unit,TYPE,formula,ll,ul,outtag,alternatepara,remark
XZFB03,Pel,有功功率,MW,RT,XZFB:1:00CE30001,0.0,600.0,,,XZFB03
XZFB03,RUN,运行标志,,PW,Pel;-5;0;-1;1;200,,,,,XZFB03
XZFB03,IN_YC,烟囱入口烟气烟尘浓度(折算),mg/Nm3,RT,XZFB:1:23CEMS001,0.0,10000.0,,,XZFB03
XZFB03,IN_SO2,烟囱入口烟气SO2浓度(折算),mg/Nm3,RT,XZFB:1:23CEMS002,0.0,10000.0,,,XZFB03
XZFB03,IN_NOX,烟囱入口烟气NOx浓度(折算),mg/Nm3,RT,XZFB:1:23CEMS003,0.0,10000.0,,,XZFB03
XZFB03,IN_O2,烟囱入口烟气O2浓度,%,RT,XZFB:03CEMS1003,0.0,10000.0,,,XZFB03
XZFB03,IN_F,烟囱入口烟气流量,kNm3/h,RT,XZFB:1:23HB_TL_AS001,0.0,100000000.0,,,XZFB03
XZFB03,IN_SO2_NVNC,烟囱入口烟气SO2浓度不变化次数,,NVNC,IN_SO2,,,XZFB:03CEMS002_NVNC,,XZFB03
XZFB03,IN_O2_NVNC,烟囱入口烟气O2浓度不变化次数,,NVNC,IN_O2,,,XZFB:03CEMS004_NVNC,,XZFB03
XZFB03,IN_NOX_NVNC,烟囱入口烟气NOx浓度不变化次数,,NVNC,IN_NOX,,,XZFB:03CEMS003_NVNC,,XZFB03
XZFB03,IN_YC_NVNC,烟囱入口烟气烟尘浓度不变化次数,,NVNC,IN_YC,,,XZFB:03CEMS001_NVNC,,XZFB03
XZFB03,IN_F_NVNC,烟囱入口烟气流量不变化次数,,NVNC,IN_F,,,XZFB:03FD00008_NVNC,,XZFB03
XZFB03,IN_SO2_STATE,烟囱入口烟气SO2浓度状态,,PW,IN_SO2_NVNC;0;0;10;1;9999999999,,,,,XZFB03
XZFB03,IN_O2_STATE,烟囱入口烟气O2浓度状态,,PW,IN_O2_NVNC;0;0;10;1;9999999999,,,,,XZFB03
XZFB03,IN_NOX_STATE,烟囱入口烟气NOx浓度状态,,PW,IN_NOX_NVNC;0;0;10;1;9999999999,,,,,XZFB03
XZFB03,IN_YC_STATE,烟囱入口烟气烟尘浓度状态,,PW,IN_YC_NVNC;0;0;10;1;9999999999,,,,,XZFB03
XZFB03,IN_F_STATE,烟囱入口烟气流量状态,,PW,IN_F_NVNC;0;0;10;1;9999999999,,,,,XZFB03
XZFB03,IN_NVNC_SUM,环保监测数据组状态和,,EXPR,IN_SO2_STATE+IN_NOX_STATE+IN_O2_STATE+IN_YC_STATE+IN_F_STATE,,,XZFB:03HB_RTDATA_STATE;0,,XZFB03
XZFB03,k_zs,折算系数,,EXPR,6/(21-IN_O2),,,,,XZFB03
XZFB03,IN_YC_SC,烟囱入口烟气烟尘浓度(实测),,EXPR,IN_YC/k_zs,,,XZFB:03CEMS001_SC,,XZFB03
XZFB03,IN_SO2_SC,烟囱入口烟气SO2浓度(实测),,EXPR,IN_SO2/k_zs,,,XZFB:03CEMS002_SC,,XZFB03
XZFB03,IN_NOX_SC,烟囱入口烟气NOx浓度(实测),,EXPR,IN_NOX/k_zs,,,XZFB:03CEMS003_SC,,XZFB03
