unitid,paraid,desc,unit,TYPE,formula,ll,ul,outtag,alternatepara,remark
XZFB03,IN_F,烟囱入口烟气流量,kNm3/h,RT,XZFB:1:23HB_TL_AS001,0.0,100000000.0,,,XZFB03
XZFB03,IN_F_Valid,烟囱入口烟气流量有效状态,,PW,IN_F;0;1;999999999,,,XZFB:03FD00008_Valid,,XZFB03
XZFB03,IN_NOX,烟囱入口烟气NOx浓度(折算),mg/Nm3,RT,XZFB:1:23CEMS003,0.0,10000.0,,,XZFB03
XZFB03,IN_NOX_Valid,烟囱入口烟气NOx浓度有效状态,,PW,IN_NOX;0;1;999999999,,,XZFB:03CEMS003_Valid,,XZFB03
XZFB03,IN_O2,烟囱入口烟气O2浓度,%,RT,XZFB:1:23CEMS004,0.0,10000.0,,,XZFB03
XZFB03,IN_O2_Valid,烟囱入口烟气O2浓度有效状态,,PW,IN_O2;0;1;999999999,,,XZFB:03CEMS004_Valid,,XZFB03
XZFB03,IN_SO2,烟囱入口烟气SO2浓度(折算),mg/Nm3,RT,XZFB:1:23CEMS002,0.0,10000.0,,,XZFB03
XZFB03,IN_SO2_Valid,烟囱入口烟气SO2浓度有效状态,,PW,IN_SO2;0;1;999999999,,,XZFB:03CEMS002_Valid,,XZFB03
XZFB03,IN_YC,烟囱入口烟气烟尘浓度(折算),mg/Nm3,RT,XZFB:1:23CEMS001,0.0,10000.0,,,XZFB03
XZFB03,IN_YC_Valid,烟囱入口烟气烟尘浓度有效状态,,PW,IN_YC;0;1;999999999,,,XZFB:03CEMS001_Valid,,XZFB03
XZFB03,Pel,有功功率,MW,RT,XZFB:1:00CE30001,0.0,400.0,,,XZFB03
XZFB03,RUN,运行标志,,PW,Pel;-5;0;2;1;400,,,,,XZFB03
