paraid,paradesc,unit,TYPE,formula,formulapara,ll,ul,stattype,runpara,stopvalue,remark
XZFB03.C_NOX,江东电厂#1机组NOX平均排放浓度,mg/Nm3,RT-CONAVG,XZFB:1:23CEMS003;XZFB:1:23CEMS004,XZFB:1:23CEMS003,-100.0,100000.0,AVG,XZFB03.RUN,,XZFB03
XZFB03.C_NOX_SC,江东电厂#1机组NOX平均排放浓度,mg/Nm3,RT-AVG,XZFB:03CEMS003_SC,XZFB:03CEMS003_SC,-100.0,100000.0,AVG,XZFB03.RUN,,XZFB03
XZFB03.C_O2,江东电厂#1机组氧量排放均值,%,RT-AVG,XZFB:1:23CEMS004,XZFB:1:23CEMS004,-100.0,100000.0,AVG,XZFB03.RUN,,XZFB03
XZFB03.C_SD,江东电厂#1机组排放烟气湿度均值,%,RT-AVG,XZFB:1:23CEMS005,XZFB:1:23CEMS005,-100.0,100000.0,AVG,XZFB03.RUN,,XZFB03
XZFB03.C_SO2,江东电厂#1机组SO2平均排放浓度,mg/Nm3,RT-CONAVG,XZFB:1:23CEMS002;XZFB:1:23CEMS004,XZFB:1:23CEMS002,-100.0,100000.0,AVG,XZFB03.RUN,,XZFB03
XZFB03.C_SO2_SC,江东电厂#1机组SO2平均排放浓度,mg/Nm3,RT-AVG,XZFB:03CEMS002_SC,XZFB:03CEMS002_SC,-100.0,100000.0,AVG,XZFB03.RUN,,XZFB03
XZFB03.C_YC,江东电厂#1机组烟尘平均排放浓度,mg/Nm3,RT-CONAVG,XZFB:1:23CEMS001;XZFB:1:23CEMS004,XZFB:1:23CEMS001,-100.0,100000.0,AVG,XZFB03.RUN,,XZFB03
XZFB03.C_YC_SC,江东电厂#1机组烟尘平均排放浓度,mg/Nm3,RT-AVG,XZFB:03CEMS001_SC,XZFB:03CEMS001_SC,-100.0,100000.0,AVG,XZFB03.RUN,,XZFB03
XZFB03.CE30001,江东电厂#1机组负荷判定参数,MW,RT,XZFB:1:00CE30001,XZFB:1:00CE30001,-100.0,10000.0,,,,XZFB03
XZFB03.CE30001AVG,江东电厂#1机组实时负荷平均,MW,RT-AVG,XZFB:1:00CE30001,XZFB:1:00CE30001,-100.0,100000.0,AVG,,,XZFB03
XZFB03.F_gas,江东电厂#1机组烟气平均流量,m3/h,RT-AVG,XZFB:03CU0022,XZFB:03CU0022,-100.0,1000000000.0,AVG,XZFB03.RUN,,XZFB03
XZFB03.F_NOX,江东电厂#1机组NOX平均排放流量,mg/h,EXPR,XZFB03.F_gas*XZFB03.C_NOX_SC,XZFB03.F_gas;XZFB03.C_NOX_SC,,,EXPR,,,XZFB03
XZFB03.F_SO2,江东电厂#1机组SO2平均排放流量,mg/h,EXPR,XZFB03.F_gas*XZFB03.C_SO2_SC,XZFB03.F_gas;XZFB03.C_SO2_SC,,,EXPR,,,XZFB03
XZFB03.F_YC,江东电厂#1机组烟尘平均排放流量,mg/h,EXPR,XZFB03.C_YC_SC*XZFB03.F_gas,XZFB03.C_YC_SC;XZFB03.F_gas,,,EXPR,,,XZFB03
XZFB03.JZ_RUN,江东电厂#1机组运行时间,h,EXPR,XZFB03.JZ_RUNSED/3600,XZFB03.JZ_RUNSED,,,EXPR,,,XZFB03
XZFB03.JZ_RUNSED,江东电厂#1机组运行时间,s,Rt-TIME,‘XZFB:1:00CE30001'>2,XZFB:1:00CE30001,-100.0,100000.0,SUM,,,XZFB03
XZFB03.M_NOX,江东电厂#1机组NOX排放量,t,EXPR,XZFB03.F_NOX*XZFB03.JZ_RUN/1000000000,XZFB03.F_NOX;XZFB03.JZ_RUN,,,EXPR,,,XZFB03
XZFB03.M_SO2,江东电厂#1机组SO2排放量,t,EXPR,XZFB03.F_SO2*XZFB03.JZ_RUN/1000000000,XZFB03.F_SO2;XZFB03.JZ_RUN,,,EXPR,,,XZFB03
XZFB03.M_YC,江东电厂#1机组烟尘排放量,t,EXPR,XZFB03.F_YC*XZFB03.JZ_RUN/1000000000,XZFB03.F_YC;XZFB03.JZ_RUN,,,EXPR,,,XZFB03
XZFB03.RUN,江东电厂#1机组运行判定,,PW,XZFB03.CE30001AVG;-10;0;2;1;600,,,,,,,XZFB03
XZFB03.C_YW,闵行能源#1机组排放烟气温度均值,℃,RT-AVG,XZFB:03CEMS1004,XZFB:03CEMS1004,-100.0,100000.0,AVG,XZFB03.RUN,,XZFB03
